plate, model, year, manufacturer, vehicle type, one day rental
ABC123, Fan 160, 2022, Honda, Day-to-Day, R$60.00
XYZ789, 1200GS, 2021, BMW, Big Trail, R$150.00
123DEF, Ninja 300, 2023, Kawasaki, Sport, R$100.00
MNO654, CB300, 2021, Honda, Street, R$70.00
QRS321, Vespa, 2022, Piaggio, Scooter, R$40.00
TUV987, Model 3, 2022, Tesla, Electric, R$120.00
WXY789, S1000RR, 2020, BMW, Sport, R$200.00
ZAB456, E-Class, 2021, Mercedes-Benz, Luxury, R$250.00
MNB123, MT-07, 2022, Yamaha, Street, R$75.00
XYZ456, CBR1000RR, 2021, Honda, Sport, R$200.00
QWE789, Iron 883, 2023, Harley-Davidson, Cruiser, R$120.00
ASX321, GSX-R750, 2022, Suzuki, Sport, R$180.00
ZXC987, Africa Twin, 2022, Honda, Adventure, R$150.00
RTY321, Ninja 650, 2021, Kawasaki, Sport, R$130.00
VBN654, Diavel, 2023, Ducati, Cruiser, R$200.00
JKL321, Street Triple, 2022, Triumph, Street, R$160.00
WER789, MT-09, 2021, Yamaha, Naked, R$140.00
